TS_Machine,ax,ay,az
1555579673.95197,-31,31,27
1555579673.98322,-37,35,42
1555579674.01447,-38,36,41
1555579674.04572,-44,36,31
1555579674.07697,-44,34,27
1555579674.10822,-45,35,23
1555579674.13947,-42,38,28
1555579674.17073,-39,40,30
1555579674.20198,-41,43,31
1555579674.26448,-44,45,28
1555579674.29573,-43,45,28
1555579674.23323,-44,44,31
1555579674.32698,-41,45,29
1555579674.35823,-41,45,29
1555579674.38949,-41,40,30
1555579674.42074,-42,40,29
1555579674.45199,-42,38,29
1555579674.48324,-42,37,28
1555579674.51449,-42,38,30
1555579674.54574,-43,39,29
1555579674.57699,-45,39,28
1555579674.60825,-46,39,27
1555579674.6395,-46,38,26
1555579674.67075,-48,39,25
1555579674.702,-48,38,24
1555579674.73325,-44,37,26
1555579674.7645,-42,37,28
1555579674.79575,-44,38,28
1555579674.82701,-45,39,28
1555579674.85826,-45,39,26
1555579674.88951,-45,39,26
1555579674.92076,-43,38,28
1555579674.95201,-43,40,29
1555579674.98326,-43,40,28
1555579675.01451,-46,39,27
1555579675.04577,-46,38,27
1555579675.07702,-47,39,26
1555579675.10827,-47,39,27
1555579675.13952,-46,39,26
1555579675.17077,-46,39,26
1555579675.20202,-43,39,26
1555579675.23327,-42,39,26
1555579675.26453,-44,40,27
1555579675.29578,-44,39,27
1555579675.32703,-44,38,26
1555579675.35828,-44,39,26
1555579675.38953,-44,40,27
1555579675.42078,-45,40,28
1555579675.45203,-44,39,28
1555579675.48329,-44,39,28
1555579675.51454,-44,39,28
1555579675.54579,-44,39,27
1555579675.57704,-45,40,27
1555579675.60829,-45,40,27
1555579675.63954,-44,40,27
1555579675.67079,-43,41,27
1555579675.70205,-42,41,28
1555579675.7333,-42,40,29
1555579675.76455,-42,40,28
1555579675.7958,-44,39,28
1555579675.82705,-45,39,27
1555579675.8583,-45,39,27
1555579675.88955,-44,38,28
1555579675.92081,-44,38,28
1555579675.95206,-43,39,27
1555579675.98331,-43,40,27
1555579676.01456,-44,40,28
1555579676.04581,-43,41,28
1555579676.07706,-44,40,28
1555579676.10831,-44,41,28
1555579676.13957,-44,40,28
1555579676.17082,-43,39,28
1555579676.20207,-43,39,27
1555579676.23332,-41,41,27
1555579676.26457,-40,42,27
1555579676.29582,-39,44,26
1555579676.32708,-38,45,26
1555579676.35833,-36,46,26
1555579676.38958,-36,46,25
1555579676.42083,-35,48,25
1555579676.45208,-36,49,25
1555579676.48333,-37,47,26
1555579676.51458,-37,47,26
1555579676.54584,-38,47,26
1555579676.57709,-38,46,26
1555579676.60834,-40,45,25
1555579676.63959,-40,44,25
1555579676.67084,-40,44,25
1555579676.70209,-40,45,25
1555579676.73334,-40,45,25
1555579676.7646,-39,45,25
1555579676.79585,-39,46,25
1555579676.8271,-39,46,25
1555579676.85835,-39,45,25
1555579676.8896,-39,45,24
1555579676.92085,-40,45,25
1555579676.9521,-41,45,23
1555579676.98336,-40,45,24
1555579677.01461,-40,45,24
1555579677.04586,-41,45,24
1555579677.07711,-41,45,23
1555579677.10836,-41,44,23
1555579677.13961,-42,44,24
1555579677.17086,-41,45,24
1555579677.20212,-41,45,25
1555579677.23337,-42,44,24
1555579677.26462,-42,43,24
1555579677.29587,-43,43,23
1555579677.32712,-43,43,24
1555579677.35837,-43,44,23
1555579677.38962,-43,44,23
1555579677.42088,-43,43,23
1555579677.45213,-42,43,24
1555579677.48338,-42,43,23
1555579677.51463,-43,42,24
1555579677.54588,-43,43,24
1555579677.57713,-44,42,24
1555579677.60838,-44,42,24
1555579677.63964,-44,41,24
1555579677.67089,-44,41,23
1555579677.70214,-45,41,23
1555579677.73339,-45,41,23
1555579677.76464,-44,42,23
1555579677.79589,-44,42,23
1555579677.82714,-44,42,23
1555579677.8584,-45,42,24
1555579677.88965,-44,42,23
1555579677.9209,-44,42,23
1555579677.95215,-45,42,23
1555579677.9834,-45,42,23
1555579678.01465,-44,42,23
1555579678.0459,-45,42,23
1555579678.07716,-45,41,23
1555579678.10841,-45,41,23
1555579678.13966,-44,42,23
1555579678.17091,-44,42,24
