TS_Machine,bvp
1555570886.13767,-30.37275
1555570886.15329,-28.4965
1555570886.16892,-24.55466
1555570886.18454,-18.89448
1555570886.20017,-12.1384
1555570886.21579,-5.043042
1555570886.23142,1.658562
1555570886.24705,7.391845
1555570886.26267,11.84655
1555570886.2783,14.95121
1555570886.29392,16.8766
1555570886.30955,17.91584
1555570886.32517,18.35672
1555570886.3408,18.38526
1555570886.35643,18.05832
1555570886.37205,17.302
1555570886.38768,16.08106
1555570886.4033,14.45094
1555570886.41893,12.64192
1555570886.43456,11.00153
1555570886.45018,9.877233
1555570886.46581,9.478005
1555570886.48143,9.794104
1555570886.49706,10.6224
1555570886.51268,11.67492
1555570886.52831,12.63475
1555570886.54394,13.25655
1555570886.55956,13.33288
1555570886.57519,12.72893
1555570886.59081,11.36448
1555570886.60644,9.3043
1555570886.62206,6.738337
1555570886.63769,3.964647
1555570886.65332,1.288973
1555570886.66894,-1.052206
1555570886.68457,-2.997232
1555570886.70019,-4.631611
1555570886.71582,-6.158407
1555570886.73144,-7.793379
1555570886.74707,-9.678492
1555570886.7627,-11.8384
1555570886.77832,-14.2052
1555570886.79395,-16.68838
1555570886.80957,-19.21346
1555570886.8252,-21.73734
1555570886.84082,-24.19827
1555570886.85645,-26.42062
1555570886.87208,-28.12101
1555570886.8877,-28.92517
1555570886.90333,-28.45664
1555570886.91895,-26.46285
1555570886.93458,-22.90756
1555570886.9502,-17.97611
1555570886.96583,-12.03362
1555570886.98146,-5.520273
1555570886.99708,1.056911
1555570887.01271,7.196737
1555570887.02833,12.41925
1555570887.04396,16.34811
1555570887.05958,18.78242
1555570887.07521,19.78961
1555570887.09084,19.67906
1555570887.10646,18.88021
1555570887.12209,17.76613
1555570887.13771,16.54646
1555570887.15334,15.25154
1555570887.16896,13.87019
1555570887.18459,12.45259
1555570887.20022,11.17425
1555570887.21584,10.24405
1555570887.23147,9.814518
1555570887.24709,9.876556
1555570887.26272,10.25099
1555570887.27834,10.70721
1555570887.29397,11.03803
1555570887.3096,11.15315
1555570887.32522,11.01418
1555570887.34085,10.62639
1555570887.35647,9.930841
1555570887.3721,8.845152
1555570887.38772,7.328249
1555570887.40335,5.449358
1555570887.41898,3.408459
1555570887.4346,1.483658
1555570887.45023,-0.07523346
1555570887.46585,-1.192785
1555570887.48148,-2.008247
1555570887.4971,-2.812239
1555570887.51273,-3.941734
1555570887.52836,-5.621819
1555570887.54398,-7.895084
1555570887.55961,-10.63618
1555570887.57523,-13.65275
1555570887.59086,-16.81365
1555570887.60648,-20.08065
1555570887.62211,-23.45437
1555570887.63774,-26.84068
1555570887.65336,-29.95907
1555570887.66899,-32.35488
1555570887.68461,-33.48317
1555570887.70024,-32.87202
1555570887.71586,-30.29807
1555570887.73149,-25.81124
1555570887.74712,-19.73268
1555570887.76274,-12.58521
1555570887.77837,-5.019732
1555570887.79399,2.311478
1555570887.80962,8.809595
1555570887.82524,14.01291
1555570887.84087,17.67543
1555570887.8565,19.7628
1555570887.87212,20.45893
1555570887.88775,20.09199
1555570887.90337,19.07906
1555570887.919,17.77617
1555570887.93462,16.47306
1555570887.95025,15.3446
1555570887.96588,14.45723
1555570887.9815,13.78854
1555570887.99713,13.29097
1555570888.01275,12.90979
1555570888.02838,12.6363
1555570888.044,12.46804
1555570888.05963,12.41798
1555570888.07526,12.47023
1555570888.09088,12.54731
1555570888.10651,12.51687
1555570888.12213,12.18626
1555570888.13776,11.40657
1555570888.15338,10.07684
1555570888.16901,8.245537
1555570888.18464,6.088711
1555570888.20026,3.845753
1555570888.21589,1.754114
1555570888.23151,-0.07706451
1555570888.24714,-1.708893
1555570888.26276,-3.297972
1555570888.27839,-5.024574
1555570888.29402,-6.965874
1555570888.30964,-9.053076
1555570888.32527,-11.11961
1555570888.34089,-13.01908
1555570888.35652,-14.69772
1555570888.37214,-16.21815
1555570888.38777,-17.74744
1555570888.4034,-19.43917
1555570888.41902,-21.37505
1555570888.43465,-23.52393
1555570888.45027,-25.70586
1555570888.4659,-27.61851
1555570888.48152,-28.8485
1555570888.49715,-28.9609
1555570888.51278,-27.59877
1555570888.5284,-24.57146
1555570888.54403,-19.96029
1555570888.55965,-14.09547
1555570888.57528,-7.50988
1555570888.5909,-0.817955
1555570888.60653,5.38776
1555570888.62216,10.647
1555570888.63778,14.67004
1555570888.65341,17.33903
1555570888.66903,18.73761
1555570888.68466,19.02871
1555570888.70028,18.48025
1555570888.71591,17.3122
1555570888.73154,15.72019
1555570888.74716,13.86299
1555570888.76279,11.94226
1555570888.77841,10.20707
1555570888.79404,8.90674
1555570888.80966,8.174952
1555570888.82529,8.022366
1555570888.84092,8.314575
1555570888.85654,8.876808
1555570888.87217,9.577684
1555570888.88779,10.37507
1555570888.90342,11.24744
1555570888.91904,12.13829
1555570888.93467,12.91384
1555570888.9503,13.36728
1555570888.96592,13.28652
1555570888.98155,12.56333
1555570888.99717,11.20583
1555570889.0128,9.346897
1555570889.02842,7.198074
1555570889.04405,4.98938
1555570889.05968,2.901375
1555570889.0753,1.027393
1555570889.09093,-0.6408997
1555570889.10655,-2.208935
1555570889.12218,-3.793545
1555570889.13781,-5.504669
1555570889.15343,-7.359886
1555570889.16906,-9.294231
1555570889.18468,-11.23833
1555570889.20031,-13.07935
1555570889.21593,-14.66623
1555570889.23156,-15.74343
1555570889.24719,-15.96072
1555570889.26281,-14.89777
1555570889.27844,-12.25417
1555570889.29406,-8.013412
1555570889.30969,-2.510666
1555570889.32531,3.648293
1555570889.34094,9.753296
1555570889.37219,19.49917
1555570889.35657,15.1716
1555570889.38782,22.55178
1555570889.40344,24.34705
1555570889.41907,24.97931
1555570889.43469,24.61767
1555570889.45032,23.46172
1555570889.46595,21.75988
1555570889.48157,19.79788
1555570889.4972,17.84321
1555570889.51282,16.08669
1555570889.52845,14.60405
1555570889.54407,13.35324
1555570889.5597,12.18788
1555570889.57533,10.95502
1555570889.59095,9.541519
1555570889.60658,7.922638
1555570889.6222,6.197136
1555570889.63783,4.516285
1555570889.65345,3.062721
1555570889.66908,1.94693
1555570889.68471,1.170105
1555570889.70033,0.6198654
1555570889.71596,0.1096725
1555570889.73158,-0.5880203
1555570889.74721,-1.742538
1555570889.76283,-3.5812
1555570889.77846,-6.239189
1555570889.79409,-9.696892
1555570889.80971,-13.75885
1555570889.82534,-18.04645
1555570889.84096,-22.13197
1555570889.85659,-25.62093
1555570889.87221,-28.3246
1555570889.88784,-30.30369
1555570889.90347,-31.82583
1555570889.91909,-33.25307
1555570889.93472,-34.88375
1555570889.95034,-36.79529
1555570889.96597,-38.71333
1555570889.98159,-40.03353
1555570889.99722,-39.93551
1555570890.01285,-37.669
1555570890.02847,-32.86678
1555570890.0441,-25.72621
1555570890.05972,-17.02191
1555570890.07535,-7.854645
1555570890.09097,0.7098618
1555570890.1066,7.922173
1555570890.12223,13.46344
1555570890.13785,17.33276
1555570890.15348,19.66
1555570890.1691,20.57323
1555570890.18473,20.1834
1555570890.20035,18.68478
1555570890.21598,16.41965
1555570890.23161,13.91679
1555570890.24723,11.69999
1555570890.26286,10.18147
1555570890.27848,9.50853
1555570890.29411,9.568382
1555570890.30973,10.05985
1555570890.32536,10.63602
1555570890.34099,11.04334
1555570890.35661,11.18892
1555570890.37224,11.12186
1555570890.38786,10.9837
1555570890.40349,10.90901
1555570890.41911,10.94969
1555570890.43474,11.04137
1555570890.45037,11.03066
1555570890.46599,10.6821
