TS_Machine,gsr
1555570885.598,3.827657
1555570885.848,3.807162
1555570886.098,3.793071
1555570886.348,3.778981
1555570886.598,3.770014
1555570886.848,3.753362
1555570887.098,3.745676
1555570887.348,3.741833
1555570887.598,3.731586
1555570887.848,3.730305
1555570888.098,3.729024
1555570888.348,3.7239
1555570888.598,3.727743
1555570888.848,3.737991
1555570889.098,3.763609
1555570889.348,3.798195
1555570889.598,3.828938
1555570889.848,3.841747
1555570890.098,3.843028
1555570890.348,3.839185
1555570890.598,3.848152
1555570890.848,3.871209
1555570891.098,3.896828
1555570891.348,3.918604
1555570891.598,3.927571
1555570891.848,3.92629
1555570892.098,3.928851
1555570892.348,3.918604
1555570892.598,3.907075
1555570892.848,3.891704
1555570893.098,3.878895
1555570893.348,3.866085
1555570893.598,3.868647
1555570893.848,3.858399
1555570894.098,3.857118
1555570894.348,3.84559
1555570894.598,3.844309
1555570894.848,3.841747
1555570895.098,3.835342
1555570895.348,3.835342
1555570895.598,3.832781
1555570895.848,3.827657
1555570896.098,3.822533
1555570896.348,3.81869
1555570896.598,3.811004
1555570896.848,3.807162
1555570897.098,3.803319
1555570897.348,3.799476
1555570897.598,3.786666
1555570897.848,3.781543
1555570898.098,3.780262
1555570898.348,3.771295
1555570898.598,3.76489
1555570898.848,3.766171
1555570899.098,3.761048
1555570899.348,3.755924
1555570899.598,3.757205
1555570899.848,3.753362
1555570900.098,3.744395
1555570900.348,3.739271
1555570900.598,3.732867
1555570900.848,3.7239
1555570901.098,3.7239
1555570901.348,3.721338
1555570901.598,3.727743
1555570901.848,3.726462
1555570902.098,3.7239
1555570902.348,3.722619
1555570902.598,3.713653
1555570902.848,3.713653
1555570903.098,3.70981
1555570903.348,3.699562
1555570903.598,4.113307
1555570903.848,4.113307
1555570904.098,4.113307
1555570904.348,4.113307
1555570904.598,4.113307
1555570904.848,4.113307
1555570906.098,4.113307
1555570905.598,4.113307
1555570905.848,4.113307
1555570906.348,4.113307
1555570906.598,4.113307
1555570906.848,4.141489
1555570907.098,4.150455
1555570907.348,4.141489
1555570905.348,4.113307
1555570907.598,4.122274
1555570907.848,4.105622
1555570905.098,4.113307
1555570908.098,4.08897
1555570908.348,4.085127
1555570908.598,4.09025
1555570908.848,4.106903
1555570909.098,4.109465
1555570909.348,4.104341
1555570909.598,4.094093
1555570909.848,4.085127
1555570910.098,4.072317
1555570910.598,4.055665
1555570910.348,4.059508
1555570910.848,4.047979
1555570911.098,4.033889
1555570911.348,4.017237
1555570911.598,4.00827
1555570911.848,3.99418
1555570912.098,3.98137
1555570912.348,3.971123
1555570912.598,3.959594
1555570912.848,3.944223
1555570913.098,3.933975
1555570913.348,3.930132
1555570913.598,3.921166
1555570913.848,3.910918
1555570914.098,3.907075
1555570914.348,3.896828
1555570914.598,3.887861
1555570914.848,3.88658
1555570915.098,3.88658
1555570915.348,3.909637
1555570915.598,3.946785
1555570915.848,3.963437
1555570916.098,3.973685
1555570916.348,3.978808
1555570916.598,3.974966
1555570916.848,3.963437
