TS_Machine,hr
1555570881.13984,76.79644
1555570881.88987,79.99628
1555570882.68678,75.29063
1555570883.49932,73.84273
1555570884.2181,83.47441
1555570884.99939,76.79644
1555570885.78068,76.79644
1555570891.99971,72.44947
1555570892.79663,75.29063
1555570893.57791,76.79646
1555570894.37482,75.29063
1555570895.20299,72.44947
1555570895.98427,76.79644
1555570896.70306,83.47441
1555570897.49997,75.29063
1555570898.26563,78.36371
1555570898.98441,83.47439
1555570907.78169,71.10783
1555570908.64111,69.81495
1555570909.37552,81.69833
1555570910.20368,72.44947
1555570917.82904,76.79644
1555570918.56344,81.69833
1555570919.39161,72.44947
1555570920.18852,75.29065
1555570920.98543,75.29063
1555570921.76672,76.79644
1555570922.59488,72.44947
1555570923.42304,72.44947
1555570924.26683,71.10782
1555570925.03249,78.36374
1555570925.87628,71.10782
1555570926.72007,71.10782
1555570927.57949,69.81495
1555570928.3764,75.29063
1555570929.15768,76.79644
1555570929.98585,72.44947
1555570930.76713,76.79646
1555570931.50154,81.69833
1555570932.29846,75.29063
1555570933.11099,73.84273
1555570933.86103,79.99632
1555570934.61106,79.99628
1555570935.40797,75.29063
1555570936.25176,71.10782
1555570949.12736,81.69833
1555570949.86177,81.69836
1555570950.64305,76.79644
1555570951.45559,73.84273
1555570952.2525,75.29063
1555570953.06504,73.84273
1555570953.87758,73.84273
1555570954.72137,71.10783
1555570955.50265,76.79644
1555570956.28394,76.79644
1555570957.14336,69.81495
1555570957.94027,75.29063
1555570958.70593,78.36374
1555570959.54972,71.10782
1555570960.48726,63.99702
1555570961.45606,61.93262
1555570962.4561,59.99723
1555570963.40927,62.94791
1555570964.25306,71.10782
1555570965.03435,76.79644
1555570965.86251,72.44947
1555570966.7063,71.10782
1555570967.64384,63.99704
1555570968.59701,62.94791
1555570969.42517,72.44947
1555570970.31584,67.3653
1555570971.15963,71.10782
1555570971.97217,73.84275
1555570972.78471,73.84273
1555570973.64412,69.81495
1555570974.55041,66.20383
1555570975.47233,65.08173
1555570976.33174,69.81495
1555570977.23804,66.20383
1555570978.14433,66.20383
1555570979.01937,68.56825
1555570979.91004,67.3653
1555570980.83195,65.08173
1555570981.67574,71.10782
1555570982.55078,68.56825
1555570983.34769,75.29063
