TS_Machine,ibi
1555573071.25189,0.843789
1555573072.1113,0.8594148
1555573072.95509,0.843789
1555573073.78326,0.8281634
1555573074.62704,0.843789
1555573075.50208,0.8750405
1555573076.31462,0.8125377
1555573077.08028,0.7656602
1555573077.89282,0.8125377
1555573078.72098,0.8281634
1555573079.59602,0.8750405
1555573080.47106,0.8750405
1555573081.33048,0.8594148
1555573082.18989,0.8594148
1555573082.97118,0.7812862
1555573083.70559,0.7344089
1555573084.42437,0.7187833
1555573085.14316,0.7187833
1555573085.89319,0.7500346
1555573086.72135,0.8281634
1555573087.59639,0.8750405
1555573088.50269,0.9062919
1555573089.37773,0.8750405
1555573090.26839,0.8906662
1555573091.06531,0.796912
1555573091.84659,0.7812862
1555573092.62788,0.7812862
1555573093.45604,0.8281631
1555573094.2842,0.8281634
1555573095.12799,0.843789
1555573095.98741,0.8594148
1555573096.81557,0.8281634
1555573097.64374,0.8281634
1555573098.50315,0.8594148
1555573099.28444,0.7812862
1555573100.0501,0.7656602
1555573100.83138,0.7812862
1555573101.64392,0.8125377
1555573102.45646,0.8125377
1555573103.28462,0.8281634
1555573104.12841,0.843789
1555573104.9722,0.843789
1555573105.78474,0.8125374
1555573106.5504,0.7656605
1555573107.31606,0.7656605
1555573108.1286,0.8125377
1555573108.97238,0.843789
1555573109.8318,0.8594146
1555573110.67559,0.843789
1555573111.535,0.8594148
1555573112.39442,0.8594148
1555573113.19133,0.796912
1555573113.94137,0.7500348
1555573114.7539,0.8125377
1555573115.56644,0.8125374
1555573116.41023,0.843789
1555573135.09859,0.7031577
1555573135.86426,0.7656602
1555573136.64554,0.7812862
1555573137.4737,0.8281634
1555573138.30187,0.8281634
1555573139.08315,0.7812862
1555573139.86444,0.781286
1555573140.66135,0.796912
1555573141.50514,0.843789
1555573142.39581,0.8906662
1555573143.28647,0.8906662
1555573144.11464,0.8281634
1555573144.91155,0.796912
1555573145.66158,0.7500346
1555573146.44287,0.7812862
1555573147.23978,0.796912
1555573148.0992,0.8594148
1555573149.00549,0.9062919
1555573149.92741,0.9219177
1555573150.84932,0.9219177
1555573151.75562,0.9062919
1555573152.63066,0.8750405
1555573153.44319,0.8125377
1555573154.24011,0.796912
1555573158.39655,0.6562803
1555573164.22494,0.7187831
1555573164.9906,0.7656605
1555573165.74064,0.7500348
1555573166.49067,0.7500346
1555573167.20946,0.7187833
1555573167.91261,0.7031577
1555573168.60015,0.6875317
1555573169.3033,0.7031577
1555573170.03771,0.7344089
1555573170.80337,0.7656605
1555573171.55341,0.7500348
1555573172.30344,0.7500348
1555573173.08473,0.781286
1555573173.91289,0.8281634
1555573174.72543,0.8125377
1555573175.50672,0.7812862
1555573176.31925,0.8125377
1555573177.16304,0.843789
1555573178.03808,0.8750405
1555573178.91312,0.8750405
1555573179.80379,0.8906662
1555573180.64758,0.8437889
1555573181.46012,0.8125377
1555573182.2414,0.7812862
1555573183.08519,0.843789
1555573183.97586,0.8906662
1555573184.89778,0.9219177
1555573185.78844,0.8906662
1555573186.67911,0.8906662
1555573187.55415,0.8750405
1555573188.36669,0.8125377
1555573189.14797,0.7812862
1555573189.94488,0.7969117
1555573190.78867,0.843789
1555573191.67934,0.8906662
1555573192.52313,0.843789
1555573193.33567,0.8125377
1555573194.27321,0.9375434
1555573195.19513,0.9219177
1555573196.08579,0.8906662
1555573196.92958,0.843789
1555573197.82025,0.8906662
1555573198.67966,0.8594148
1555573199.47658,0.796912
1555573200.27349,0.796912
1555573201.14853,0.8750405
1555573202.02357,0.8750405
1555573202.89861,0.8750405
1555573203.7424,0.843789
1555573204.55494,0.8125374
1555573205.42998,0.8750405
1555573206.33627,0.9062919
1555573207.25819,0.9219179
1555573208.1801,0.9219177
1555573209.10202,0.9219177
1555573210.00831,0.9062919
1555573210.8521,0.843789
1555573211.68027,0.8281634
1555573212.55531,0.8750405
1555573213.44597,0.8906662
1555573214.36789,0.9219177
1555573215.25856,0.8906662
1555573216.14922,0.8906662
1555573217.03989,0.8906662
1555573217.96181,0.9219177
1555573218.83685,0.8750405
1555573219.72751,0.8906662
1555573220.58693,0.8594148
1555573221.39947,0.8125377
1555573222.212,0.8125374
1555573223.02454,0.8125377
1555573223.91521,0.8906662
1555573224.83713,0.9219177
1555573225.77467,0.9375434
1555573226.68096,0.9062919
1555573227.52475,0.843789
1555573228.32166,0.796912
1555573229.1342,0.8125377
1555573229.99361,0.8594148
1555573230.88428,0.8906662
1555573231.79057,0.9062919
1555573232.64999,0.8594148
1555573233.49378,0.843789
1555573234.30631,0.8125377
1555573235.18136,0.8750405
1555573236.0564,0.8750405
1555573236.96269,0.9062919
1555573237.83773,0.8750405
1555573238.63464,0.7969117
1555573239.43155,0.796912
1555573240.16596,0.7344091
1555573240.93162,0.7656605
1555573241.72853,0.7969117
1555573242.60357,0.8750405
1555573243.50987,0.9062919
1555573244.43178,0.9219179
1555573245.27557,0.8437889
1555573246.07248,0.796912
1555573246.83814,0.7656605
1555573247.63506,0.796912
1555573248.47885,0.843789
1555573249.35389,0.8750405
1555573250.24455,0.8906662
1555573251.11959,0.8750405
1555573251.93213,0.8125374
1555573252.72904,0.796912
1555573253.4947,0.7656605
1555573254.19786,0.7031577
1555573254.88539,0.6875317
1555573255.5573,0.6719062
1555573264.6671,0.5937774
1555573265.35463,0.6875319
1555573266.07341,0.7187831
1555573266.77657,0.7031577
1555573267.5266,0.7500348
1555573268.32351,0.7969117
1555573269.08918,0.7656605
1555573269.85484,0.7656605
1555573270.57362,0.7187833
1555573271.2924,0.7187831
1555573272.02681,0.7344091
1555573272.79247,0.7656605
1555573273.63626,0.8437889
1555573274.48005,0.843789
1555573275.32384,0.843789
1555573276.18325,0.8594148
1555573277.04267,0.8594148
1555573277.87083,0.8281634
1555573278.71462,0.843789
1555573279.57404,0.8594148
1555573280.43345,0.8594148
1555573281.30849,0.8750405
1555573282.15228,0.843789
1555573282.96482,0.8125377
1555573283.80861,0.8437889
1555573284.66802,0.8594148
1555573285.52744,0.8594148
1555573286.3556,0.8281634
1555573287.15251,0.796912
1555573287.9963,0.843789
1555573288.85572,0.8594148
1555573289.76201,0.9062919
1555573290.6683,0.9062919
1555573291.55897,0.8906662
1555573292.40276,0.843789
1555573293.19967,0.796912
1555573294.02783,0.8281634
1555573294.88725,0.8594148
1555573295.77791,0.8906662
1555573296.69983,0.9219177
1555573297.55924,0.8594148
1555573298.41866,0.8594146
1555573299.27807,0.8594148
1555573300.21562,0.9375436
1555573301.16879,0.9531691
1555573302.0907,0.9219177
1555573302.98137,0.8906662
1555573303.82516,0.843789
1555573304.60645,0.781286
1555573305.38773,0.7812862
1555573306.10651,0.7187833
1555573306.80967,0.7031574
1555573307.51283,0.7031577
1555573308.21599,0.7031577
1555573308.91914,0.7031574
1555573309.57543,0.6562805
1555573310.27858,0.7031574
1555573310.90361,0.6250291
1555573311.6224,0.7187831
1555573312.40368,0.7812862
1555573313.2631,0.8594148
1555573314.13814,0.8750405
1555573315.0288,0.8906662
1555573315.85697,0.8281634
1555573316.76326,0.9062919
1555573317.59142,0.8281634
1555573318.35708,0.7656605
1555573319.16962,0.8125374
1555573320.02903,0.8594148
1555573320.88845,0.8594148
1555573321.73224,0.843789
1555573322.52915,0.796912
1555573323.31044,0.7812862
1555573324.10735,0.796912
1555573324.95114,0.8437889
1555573325.85743,0.9062919
1555573326.77935,0.9219179
1555573327.71689,0.9375434
1555573328.63881,0.9219177
1555573329.56073,0.9219177
1555573330.43577,0.8750405
1555573331.27956,0.843789
1555573332.07647,0.796912
1555573332.87338,0.7969117
1555573333.71717,0.843789
1555573334.62346,0.9062919
1555573335.59226,0.9687948
1555573336.51417,0.9219179
1555573337.40484,0.8906662
1555573338.26425,0.8594146
1555573339.07679,0.8125377
1555573339.84245,0.7656605
1555573340.67062,0.8281634
1555573341.57691,0.9062919
1555573342.53008,0.9531691
1555573343.45199,0.9219177
1555573344.35829,0.9062919
1555573345.24895,0.8906662
1555573346.12399,0.8750405
1555573346.96778,0.843789
1555573347.79595,0.8281634
1555573348.65536,0.8594148
1555573349.5304,0.8750405
1555573350.42107,0.8906662
1555573351.32736,0.9062919
1555573352.17115,0.843789
1555573353.01494,0.843789
1555573353.87435,0.8594148
1555573354.76502,0.8906662
1555573355.68694,0.9219177
1555573356.54635,0.8594148
1555573357.37451,0.8281634
1555573358.2183,0.843789
1555573359.09334,0.8750405
1555573359.99964,0.9062919
1555573360.85905,0.8594148
1555573361.70284,0.8437889
1555573362.56225,0.8594148
1555573363.43729,0.8750405
1555573364.32796,0.8906662
1555573365.2655,0.9375434
1555573366.10929,0.843789
1555573366.95308,0.843789
1555573367.8125,0.8594148
1555573368.68754,0.8750405
1555573369.56258,0.8750405
1555573370.40637,0.843789
1555573371.25016,0.843789
1555573372.10957,0.8594148
1555573373.03149,0.9219177
1555573373.92216,0.8906662
1555573374.78157,0.8594148
1555573375.62536,0.843789
1555573376.5004,0.8750405
1555573377.39107,0.8906662
1555573378.31298,0.9219177
1555573379.25053,0.9375434
1555573380.15682,0.9062919
1555573381.07874,0.9219177
1555573381.95378,0.8750405
1555573382.76631,0.8125377
1555573383.57885,0.8125377
1555573384.40702,0.8281634
1555573385.31331,0.9062919
1555573386.23523,0.9219177
1555573387.11027,0.8750405
1555573387.9228,0.8125377
1555573388.71972,0.7969117
1555573389.54788,0.8281634
1555573390.42292,0.8750405
1555573391.31359,0.8906662
1555573392.173,0.8594148
1555573393.03242,0.8594148
1555573393.86058,0.8281634
1555573394.70437,0.843789
1555573395.59503,0.8906662
1555573396.53258,0.9375434
1555573397.42324,0.8906662
1555573398.26703,0.843789
1555573399.06394,0.796912
1555573399.86086,0.796912
1555573400.72027,0.8594148
1555573401.62656,0.9062919
1555573402.56411,0.9375434
1555573403.48602,0.9219177
1555573404.34544,0.8594148
1555573405.15798,0.8125377
1555573405.95489,0.7969117
1555573406.78305,0.8281634
1555573407.64247,0.8594148
1555573408.56438,0.9219177
1555573409.45505,0.8906662
1555573410.33009,0.8750405
1555573411.18951,0.8594148
1555573412.06455,0.8750405
1555573412.97084,0.9062919
1555573413.86151,0.8906662
1555573414.72092,0.8594148
1555573415.59596,0.8750405
1555573416.45538,0.8594148
1555573417.34604,0.8906662
1555573418.23671,0.8906662
1555573419.09612,0.8594148
1555573419.98679,0.8906662
1555573420.86183,0.8750405
1555573421.73687,0.8750405
1555573422.64316,0.9062919
1555573423.50258,0.8594148
1555573424.31511,0.8125377
1555573425.1589,0.843789
1555573426.00269,0.843789
1555573426.7996,0.7969117
1555573427.56526,0.7656605
1555573428.33093,0.7656605
1555573429.11221,0.7812862
1555573429.86225,0.7500346
1555573430.69041,0.8281634
