TS_Machine,tmp
1555579673.93714,35.47
1555579674.18715,35.47
1555579674.43716,35.47
1555579674.68718,35.47
1555579674.93719,35.47
1555579675.1872,35.47
1555579675.43721,35.47
1555579675.68722,35.47
1555579675.93723,35.47
1555579676.18725,35.47
1555579676.43726,35.47
1555579676.68727,35.47
1555579676.93728,35.47
1555579677.18729,35.47
1555579677.4373,35.47
1555579677.68731,35.47
1555579677.93733,35.43
1555579678.18734,35.43
1555579678.43735,35.43
1555579678.68736,35.43
1555579678.93737,35.45
1555579679.18738,35.45
1555579679.4374,35.45
1555579679.68741,35.45
1555579679.93742,35.47
1555579680.18743,35.47
1555579680.43744,35.47
1555579680.68745,35.47
1555579680.93747,35.47
1555579681.18748,35.47
1555579681.43749,35.47
1555579681.6875,35.47
1555579681.93751,35.45
1555579682.18752,35.45
1555579682.43753,35.45
1555579682.68755,35.45
1555579682.93756,35.45
1555579683.18757,35.45
1555579683.43758,35.45
1555579683.68759,35.45
1555579683.9376,35.47
1555579684.18762,35.47
1555579684.43763,35.47
1555579684.68764,35.47
1555579684.93765,35.45
1555579685.18766,35.45
1555579685.43767,35.45
1555579685.68769,35.45
1555579685.9377,35.45
1555579686.18771,35.45
1555579686.43772,35.45
1555579686.68773,35.45
1555579686.93774,35.45
1555579687.18775,35.45
1555579687.43777,35.45
1555579687.68778,35.45
1555579687.93779,35.45
1555579688.1878,35.45
1555579688.43781,35.45
1555579688.68782,35.45
1555579688.93784,35.43
1555579689.18785,35.43
1555579689.43786,35.43
1555579689.68787,35.43
1555579689.93788,35.45
1555579690.18789,35.45
1555579690.43791,35.45
1555579690.68792,35.45
1555579690.93793,35.43
1555579691.18794,35.43
1555579691.43795,35.43
1555579691.68796,35.43
1555579691.93797,35.43
1555579692.18799,35.43
1555579692.438,35.43
1555579692.68801,35.43
1555579692.93802,35.43
1555579693.18803,35.43
1555579693.43804,35.43
1555579693.68806,35.43
1555579693.93807,35.45
1555579694.18808,35.45
1555579694.43809,35.45
1555579694.6881,35.45
1555579694.93811,35.41
1555579695.18813,35.41
1555579695.43814,35.41
1555579695.68815,35.41
1555579695.93816,35.43
1555579696.18817,35.43
1555579696.43818,35.43
1555579696.68819,35.43
1555579696.93821,35.43
1555579697.18822,35.43
1555579697.43823,35.43
1555579697.68824,35.43
1555579697.93825,35.43
1555579698.18826,35.43
1555579698.43828,35.43
1555579698.68829,35.43
1555579698.9383,35.41
1555579699.18831,35.41
1555579699.43832,35.41
1555579699.68833,35.41
1555579699.93835,35.39
1555579700.18836,35.39
1555579700.43837,35.39
1555579700.68838,35.39
1555579700.93839,35.39
1555579701.1884,35.39
1555579701.43841,35.39
1555579701.68843,35.39
1555579701.93844,35.43
1555579702.18845,35.43
1555579702.43846,35.43
1555579702.68847,35.43
1555579702.93848,35.43
1555579703.1885,35.43
1555579703.43851,35.43
1555579703.68852,35.43
1555579703.93853,35.43
1555579704.18854,35.43
1555579704.43855,35.43
1555579704.68857,35.43
1555579704.93858,35.43
1555579705.18859,35.43
1555579705.4386,35.43
1555579705.68861,35.43
1555579705.93862,35.43
1555579706.18863,35.43
1555579706.43865,35.43
1555579706.68866,35.43
1555579706.93867,35.43
1555579707.18868,35.43
1555579707.43869,35.43
1555579707.6887,35.43
1555579707.93872,35.41
1555579708.18873,35.41
1555579708.43874,35.41
1555579708.68875,35.41
1555579708.93876,35.41
1555579709.18877,35.41
1555579709.43879,35.41
1555579709.6888,35.41
1555579709.93881,35.43
1555579710.18882,35.43
1555579710.43883,35.43
1555579710.68884,35.43
1555579710.93885,35.41
1555579711.18887,35.41
1555579711.43888,35.41
1555579711.68889,35.41
1555579711.9389,35.43
1555579712.18891,35.43
1555579712.43892,35.43
1555579712.68894,35.43
1555579712.93895,35.41
1555579713.18896,35.41
1555579713.43897,35.41
1555579713.68898,35.41
